,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
85,1,860,27,0.45,0.77,7.4,0.45,0.04,0.3,0.3348672614056905,10,0.4008636208283713
86,1,870,22,0.71,0.74,6.6,0.52,0.97,0.86,0.3104910457704725,10,0.4008636208283713
87,1,880,14,0.75,0.86,8.9,0.45,0.3,0.8200000000000001,0.2570540537729871,10,0.4008636208283713
88,1,890,27,1.0,0.63,6.8,0.42,0.27,0.61,0.3435134008186945,10,0.4008636208283713
89,1,900,11,0.52,0.76,7.1,0.37,0.75,0.0,0.3240699304971407,10,0.4008636208283713
90,1,910,27,0.4,0.77,6.2,0.11,0.07,0.3,0.2950151221405176,10,0.4008636208283713
91,1,920,28,0.45,0.77,7.4,0.14,0.06,0.26,0.3069127710780251,10,0.4008636208283713
92,1,930,14,1.0,0.63,7.6,0.47,0.79,0.22,0.3358225929345305,10,0.4008636208283713
93,1,940,22,0.4,0.52,6.8,0.42,1.0,0.61,0.3333452939562747,10,0.4008636208283713
94,1,950,9,0.19,0.52,9.3,0.8300000000000001,0.64,0.44,0.3770863033805445,10,0.4008636208283713
95,1,960,11,0.94,0.76,5.3,0.78,0.54,0.6900000000000001,0.306437717515403,10,0.4008636208283713
96,1,970,27,0.45,0.77,7.5,0.02,0.8200000000000001,0.26,0.3175342569884838,10,0.4008636208283713
97,1,980,15,0.49,0.6,8.9,0.09,0.07,0.26,0.3947014539870184,10,0.4008636208283713
98,1,990,22,0.4,0.52,7.6,0.44,0.79,0.26,0.3458297805185105,10,0.4008636208283713
99,1,1000,20,0.35,0.49,9.7,0.49,0.09,0.26,0.3512049443927622,10,0.4008636208283713
100,1,1010,27,0.61,0.5700000000000001,8.5,0.3,0.54,0.76,0.352634989233206,10,0.4008636208283713
101,1,1020,5,0.02,0.54,6.6,0.49,0.54,0.76,0.3449317039056817,10,0.4008636208283713
102,1,1030,20,0.35,0.62,8.5,0.3,0.08,0.26,0.3808847727413167,10,0.4008636208283713
103,1,1040,15,0.49,0.1,7.6,0.47,0.9,0.51,0.083597041757604,10,0.4008636208283713
104,1,1050,22,0.4,0.75,7.9,0.97,0.9,0.51,0.3125214253949207,10,0.4008636208283713
105,1,1060,22,0.72,0.74,6.6,0.8300000000000001,0.64,0.47,0.3094580258808173,10,0.4008636208283713
106,1,1070,9,0.19,0.52,9.3,0.52,0.3,0.52,0.3748316892850918,10,0.4008636208283713
107,1,1080,9,0.37,0.71,8.9,0.66,0.77,0.79,0.2961300175594717,10,0.4008636208283713
108,1,1090,17,0.59,0.42,8.5,0.18,0.08,0.26,0.31083755100778,10,0.4008636208283713
109,1,1100,27,0.61,0.5700000000000001,8.5,0.18,0.07,0.26,0.3780300420309807,10,0.4008636208283713
110,1,1110,27,0.4,0.92,6.2,0.22,0.67,0.26,0.1816219562935039,10,0.4008636208283713
111,1,1120,20,0.36,0.71,8.5,0.3,0.08,0.93,0.3468968940514778,10,0.4008636208283713
112,1,1130,9,0.14,0.49,9.7,0.49,0.54,0.76,0.3286529589759973,10,0.4008636208283713
113,1,1140,5,0.61,0.5700000000000001,8.1,0.6,0.04,0.55,0.3809202002096514,10,0.4008636208283713
114,1,1150,29,0.61,0.66,8.5,0.3,0.08,0.26,0.3536348570413292,10,0.4008636208283713
115,1,1160,20,0.35,0.49,9.7,0.49,0.54,0.52,0.3472442532384148,10,0.4008636208283713
116,1,1170,22,0.4,0.52,7.6,0.47,0.9,0.76,0.3245010476648743,10,0.4008636208283713
117,1,1180,29,0.37,0.66,6.1,0.2,0.64,0.47,0.3699896257232585,10,0.4008636208283713
118,1,1190,5,0.19,0.56,9.3,0.8300000000000001,0.65,0.33,0.3694796436343579,10,0.4008636208283713
119,1,1200,18,0.52,0.6,9.8,0.15,0.01,0.15,0.3754062167946336,10,0.4008636208283713
