,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
250,2,1110,16,0.98,0.48,8.3,0.23,0.76,0.66,0.3847015699535204,10,0.4474312891390007
251,2,1120,12,0.32,0.42,9.9,0.19,0.53,0.22,0.3431238813112277,10,0.4474312891390007
252,2,1130,28,0.86,0.5700000000000001,5.8,0.8200000000000001,0.04,0.97,0.4007996761859101,10,0.4474312891390007
253,2,1140,23,0.8,0.45,7.0,0.34,0.24,0.58,0.3729227557157747,10,0.4474312891390007
254,2,1150,22,0.6,0.7000000000000001,7.5,0.63,0.75,0.95,0.3728004181892705,10,0.4474312891390007
255,2,1160,21,0.59,0.54,8.9,0.19,0.1,0.32,0.4125566115426181,10,0.4474312891390007
256,2,1170,19,0.0,0.71,7.4,0.8300000000000001,0.67,0.52,0.3680504399026808,10,0.4474312891390007
257,2,1180,27,0.63,0.7000000000000001,7.4,0.8300000000000001,0.41,0.54,0.408135557250506,10,0.4474312891390007
258,2,1190,22,0.63,0.71,7.4,0.8300000000000001,0.67,0.52,0.3997613623403867,10,0.4474312891390007
259,2,1200,20,0.97,0.71,7.4,0.8300000000000001,0.08,0.55,0.3669303162922465,10,0.4474312891390007
260,2,1210,9,0.29,0.48,8.3,0.4,0.76,0.34,0.3888979204718262,10,0.4474312891390007
261,2,1220,9,0.55,0.61,7.4,0.52,0.3,0.05,0.4003758171707796,10,0.4474312891390007
262,2,1230,29,0.86,0.5700000000000001,10.0,0.8200000000000001,0.24,0.58,0.435127297509,10,0.4474312891390007
263,2,1240,9,0.55,0.77,10.0,0.08,0.1,0.01,0.3688669374938272,10,0.4474312891390007
264,2,1250,9,0.17,0.88,7.0,0.76,0.34,0.26,0.2471038866154161,10,0.4474312891390007
265,2,1260,21,0.35,0.7000000000000001,9.3,0.8300000000000001,0.67,0.43,0.4013521047636075,10,0.4474312891390007
266,2,1270,22,0.75,0.39,9.5,0.18,0.37,0.5700000000000001,0.3149667340337299,10,0.4474312891390007
267,2,1280,19,0.96,0.79,8.3,0.4,0.76,0.45,0.3004215223500042,10,0.4474312891390007
268,2,1290,9,0.61,0.7000000000000001,7.4,0.8300000000000001,0.67,0.55,0.4026420918721336,10,0.4474312891390007
269,2,1300,19,0.0,0.71,7.4,0.12,0.1,0.01,0.3959052414824161,10,0.4474312891390007
270,2,1310,9,0.47,0.71,10.0,0.87,0.08,0.55,0.4050641302636759,10,0.4474312891390007
271,2,1320,9,0.16,0.68,8.9,0.08,0.09,0.01,0.3918723201296846,10,0.4474312891390007
272,2,1330,9,0.47,0.72,8.9,0.67,0.13,0.65,0.3956871176474855,10,0.4474312891390007
273,2,1340,16,0.97,0.86,6.1,0.64,0.6,0.89,0.2692706766725865,10,0.4474312891390007
274,2,1350,29,0.93,0.48,7.1,0.41,0.11,0.8300000000000001,0.3503297711788899,10,0.4474312891390007
275,2,1360,9,0.55,0.93,7.4,0.76,0.49,0.52,0.2154493183715119,10,0.4474312891390007
276,2,1370,29,0.86,0.5700000000000001,5.8,0.8200000000000001,0.24,0.53,0.4155320399337054,10,0.4474312891390007
277,2,1380,14,0.0,0.68,9.7,0.8300000000000001,0.23,0.43,0.4257127082898799,10,0.4474312891390007
278,2,1390,9,0.55,0.65,7.4,0.76,0.13,0.32,0.4282230283589178,10,0.4474312891390007
279,2,1400,21,0.75,0.72,9.3,0.8300000000000001,0.67,0.43,0.3850160009851034,10,0.4474312891390007
280,2,1410,22,0.75,0.71,9.3,0.8300000000000001,0.41,0.84,0.4126606336873274,10,0.4474312891390007
281,2,1420,10,0.98,0.48,8.0,0.56,0.04,0.96,0.3737411477041396,10,0.4474312891390007
282,2,1430,9,0.55,0.66,5.6,0.76,0.13,0.95,0.4077905443058083,10,0.4474312891390007
283,2,1440,9,0.55,0.66,7.4,0.8300000000000001,0.3,0.26,0.4190259072131027,10,0.4474312891390007
284,2,1450,22,0.56,0.71,9.3,0.8300000000000001,0.67,0.43,0.3902819272178789,10,0.4474312891390007
285,2,1460,27,0.64,0.76,9.3,0.1,0.52,0.52,0.3461024904406491,10,0.4474312891390007
286,3,10,14,0.78,0.71,9.3,0.37,0.74,0.81,0.3534610948724909,10,0.3534610948724909
287,3,20,27,1.0,0.26,9.6,0.51,0.19,0.11,0.2859378882942677,10,0.3534610948724909
288,3,30,24,0.1,0.86,8.6,0.31,0.45,0.28,0.2679153048794905,10,0.3534610948724909
289,3,40,27,0.41,0.78,5.0,0.09,0.37,0.4,0.3264236607295439,10,0.3534610948724909
290,3,50,30,0.01,0.77,5.0,0.94,0.92,0.8200000000000001,0.3210062627194362,10,0.3534610948724909
291,3,60,22,0.9,0.15,8.9,0.27,0.04,0.44,0.1649048607719319,10,0.3534610948724909
292,3,70,17,0.75,0.59,6.5,0.04,0.04,0.92,0.3957000584124001,10,0.3957000584124001
293,3,80,22,0.88,0.2,8.9,0.45,0.95,0.97,0.208037914813219,10,0.3957000584124001
294,3,90,13,0.46,0.07,7.800000000000001,0.93,0.81,0.79,0.1242506825946761,10,0.3957000584124001
295,3,100,26,0.06,0.79,9.3,0.52,0.68,0.43,0.304760676968154,10,0.3957000584124001
296,3,110,27,0.26,0.17,8.9,0.86,0.74,0.36,0.1768167021596906,10,0.3957000584124001
297,3,120,23,0.52,0.94,6.7,0.56,0.8300000000000001,0.86,0.2032668882049072,10,0.3957000584124001
298,3,130,24,0.55,0.34,5.3,0.86,0.01,0.37,0.3327250312921977,10,0.3957000584124001
299,3,140,29,0.03,0.16,7.9,0.28,0.94,0.35,0.1428687065603994,10,0.3957000584124001
